Season,Injury,From,Until,Days,GamesMissed,Player,PlayerID,Weeks
25/26,Fitness,2025-07-18,2025-08-09,22.0,1,Mauro Icardi,68863,3.1
24/25,Cruciate ligament tear,2024-11-07,2025-07-18,253.0,39,Mauro Icardi,68863,36.1
24/25,Torn thigh muscle,2024-08-31,2024-09-20,20.0,3,Mauro Icardi,68863,2.9
23/24,bruise,2024-02-28,2024-03-02,3.0,1,Mauro Icardi,68863,0.4
23/24,Eyebow fracture,2023-12-24,2024-01-19,26.0,5,Mauro Icardi,68863,3.7
22/23,Hamstring strain,2023-04-18,2023-04-23,5.0,2,Mauro Icardi,68863,0.7
22/23,Fitness,2023-01-02,2023-01-05,3.0,1,Mauro Icardi,68863,0.4
22/23,Muscle injury,2022-11-30,2023-01-02,33.0,3,Mauro Icardi,68863,4.7
22/23,muscular problems,2022-09-30,2022-10-05,5.0,1,Mauro Icardi,68863,0.7
22/23,Fitness,2022-09-08,2022-09-12,4.0,1,Mauro Icardi,68863,0.6
21/22,Acromioclavicular joint dislocation,2021-08-23,2021-09-10,18.0,1,Mauro Icardi,68863,2.6
20/21,Thigh problems,2021-03-18,2021-04-14,27.0,5,Mauro Icardi,68863,3.9
20/21,stomach problems,2021-02-26,2021-03-02,4.0,1,Mauro Icardi,68863,0.6
20/21,Adductor pain,2020-11-30,2021-01-07,38.0,8,Mauro Icardi,68863,5.4
20/21,Knee medial ligament tear,2020-10-07,2020-11-26,50.0,9,Mauro Icardi,68863,7.1
22/23,Inner ligament stretch of the knee,2023-02-20,2023-03-22,30.0,3,Dries Mertens,56416,4.3
21/22,Fitness,2021-09-09,2021-09-25,16.0,4,Dries Mertens,56416,2.3
21/22,Shoulder injury,2021-07-05,2021-09-08,65.0,5,Dries Mertens,56416,9.3
20/21,Ankle injury,2021-05-09,2021-05-10,1.0,-,Dries Mertens,56416,0.1
20/21,Ankle injury,2021-01-30,2021-02-23,24.0,7,Dries Mertens,56416,3.4
20/21,Ankle sprain,2020-12-16,2021-01-11,26.0,6,Dries Mertens,56416,3.7
19/20,Adductor pain,2019-12-30,2020-01-30,31.0,6,Dries Mertens,56416,4.4
18/19,muscular problems,2019-05-10,2019-05-13,3.0,1,Dries Mertens,56416,0.4
15/16,Torn thigh muscle,2015-11-02,2015-12-04,32.0,6,Dries Mertens,56416,4.6
15/16,Contracture,2015-10-19,2015-10-26,7.0,2,Dries Mertens,56416,1.0
14/15,Back problems,2015-04-17,2015-04-17,0.0,-,Dries Mertens,56416,0.0
14/15,concussion,2014-11-17,2014-11-25,8.0,1,Dries Mertens,56416,1.1
13/14,Ankle sprain,2014-03-24,2014-03-28,4.0,1,Dries Mertens,56416,0.6
12/13,Groin problems,2012-12-07,2013-01-01,25.0,4,Dries Mertens,56416,3.6
24/25,Partial muscle tear,2024-09-09,2024-10-04,25.0,6,Hakim Ziyech,217111,3.6
23/24,Ankle injury,2024-01-24,2024-03-06,42.0,12,Hakim Ziyech,217111,6.0
23/24,Ankle injury,2024-01-11,2024-01-16,5.0,2,Hakim Ziyech,217111,0.7
23/24,Hamstring injury,2023-12-24,2023-12-30,6.0,1,Hakim Ziyech,217111,0.9
23/24,unknown injury,2023-12-02,2023-12-11,9.0,2,Hakim Ziyech,217111,1.3
23/24,Foot injury,2023-09-25,2023-10-22,27.0,7,Hakim Ziyech,217111,3.9
23/24,Fitness,2023-08-19,2023-09-03,15.0,4,Hakim Ziyech,217111,2.1
22/23,Rest,2022-12-18,2022-12-28,10.0,1,Hakim Ziyech,217111,1.4
21/22,Achilles heel problems,2022-02-22,2022-03-03,9.0,3,Hakim Ziyech,217111,1.3
21/22,Shoulder injury,2021-08-12,2021-08-17,5.0,1,Hakim Ziyech,217111,0.7
20/21,Hip injury,2020-12-07,2021-01-02,26.0,6,Hakim Ziyech,217111,3.7
20/21,Knee injury,2020-08-30,2020-10-16,47.0,8,Hakim Ziyech,217111,6.7
19/20,Calf injury,2020-02-16,2020-02-29,13.0,4,Hakim Ziyech,217111,1.9
19/20,Calf injury,2020-01-19,2020-02-11,23.0,4,Hakim Ziyech,217111,3.3
19/20,Thigh problems,2019-09-23,2019-09-27,4.0,1,Hakim Ziyech,217111,0.6
24/25,flu,2025-06-05,2025-06-07,2.0,-,Lucas Torreira,318077,0.3
24/25,Rest,2025-05-23,2025-05-31,8.0,2,Lucas Torreira,318077,1.1
23/24,Internal ligament strain,2023-07-05,2023-08-03,29.0,2,Lucas Torreira,318077,4.1
21/22,Injury to abdominal muscles,2022-04-21,2022-04-25,4.0,1,Lucas Torreira,318077,0.6
21/22,unknown injury,2022-02-20,2022-02-25,5.0,1,Lucas Torreira,318077,0.7
21/22,Corona virus,2022-01-25,2022-02-03,9.0,2,Lucas Torreira,318077,1.3
20/21,Corona virus,2020-11-19,2020-11-30,11.0,3,Lucas Torreira,318077,1.6
19/20,Ankle injury,2020-03-03,2020-07-03,122.0,6,Lucas Torreira,318077,17.4
19/20,Ill,2020-02-17,2020-02-21,4.0,1,Lucas Torreira,318077,0.6
19/20,Knock,2020-01-12,2020-01-17,5.0,-,Lucas Torreira,318077,0.7
18/19,Rest,2019-05-11,2019-05-13,2.0,1,Lucas Torreira,318077,0.3
18/19,Rest,2018-12-12,2018-12-14,2.0,1,Lucas Torreira,318077,0.3
18/19,Rest,2018-11-28,2018-11-30,2.0,1,Lucas Torreira,318077,0.3
18/19,Knee injury,2018-09-21,2018-09-22,1.0,-,Lucas Torreira,318077,0.1
18/19,Calf injury,2018-09-09,2018-09-14,5.0,-,Lucas Torreira,318077,0.7
22/23,Foot injury,2023-02-06,2023-03-08,30.0,1,Fernando Muslera,58088,4.3
21/22,Fitness,2022-02-23,2022-03-03,8.0,1,Fernando Muslera,58088,1.1
21/22,Cruciate ligament strain,2021-12-14,2022-02-22,70.0,13,Fernando Muslera,58088,10.0
20/21,Fitness,2020-11-29,2021-01-18,50.0,10,Fernando Muslera,58088,7.1
19/20,Tibia and fibula fracture,2020-06-15,2020-11-29,167.0,24,Fernando Muslera,58088,23.9
19/20,Hip problems,2019-11-19,2019-11-24,5.0,1,Fernando Muslera,58088,0.7
18/19,Head injury,2018-11-11,2018-11-21,10.0,2,Fernando Muslera,58088,1.4
16/17,Rest,2017-02-03,2017-02-05,2.0,1,Fernando Muslera,58088,0.3
16/17,Finger injury,2017-01-05,2017-01-13,8.0,-,Fernando Muslera,58088,1.1
15/16,Hip bruise,2016-03-05,2016-03-09,4.0,1,Fernando Muslera,58088,0.6
13/14,Edema in the knee,2014-04-27,2014-05-07,10.0,3,Fernando Muslera,58088,1.4
13/14,Shoulder injury,2014-01-14,2014-01-23,9.0,3,Fernando Muslera,58088,1.3
13/14,Broken toe,2013-11-01,2013-12-04,33.0,10,Fernando Muslera,58088,4.7
10/11,Ankle injury,2011-02-23,2011-03-12,17.0,2,Fernando Muslera,58088,2.4
25/26,ankle sprain,2025-08-04,2025-08-11,7.0,1,Kerem Aktürkoğlu,382528,1.0
23/24,Neck injury,2023-09-08,2023-09-13,5.0,1,Kerem Aktürkoğlu,382528,0.7
21/22,Groin strain,2022-04-02,2022-04-08,6.0,1,Kerem Aktürkoğlu,382528,0.9
